rank,name,aggregateScore,sector,description,Deck Score,spelling_and_grammar,structure,clarity,length,startup Score,team,market,traction,hasEmail,founders,number of founders,timestamp
111,MYWATER,61.650000000000006,planet_positive,"MYWATER provides on-demand water purification systems for households, capturing microplastics and removing bacteria and viruses.",86.65,95,87,71,90,55.400000000000006,61,65,25,True,"Niels STRATMAN, Aljaz SLAVEC, Robert SLAVEC",3,2024-02-27 14:33:33
112,bndle,61.610000000000014,underrepresented_founders,bndle is a smart predictive AI-powered marketplace that simplifies and centralises kids shopping.,78.45,98.75,91,28,60,57.400000000000006,61,50,65,True,"Vish Burgul, Lucy Burgul",2,2024-02-27 14:33:33
113,Rogues Studio,61.59000000000001,education_technology,Rogues Studio is a social casual mobile gaming studio with an educational platform and AI game-creation tools.,78.35,95,74,49,100,57.400000000000006,61,50,65,True,"Morgan Page, Anna Stoilova",2,2024-02-27 14:33:33
114,miMove,61.46000000000001,education_technology,"miMove is an EdTech startup that provides a platform for young people to record, connect and learn about physical activity.",77.7,95,91,48,40,57.400000000000006,61,50,65,True,"Greg Dryer, Marcella Griso",2,2024-02-27 14:33:33
115,Gigmor,61.43200000000001,other,"Gigmor is disrupting the $50B live music industry with a platform that makes booking, ticketing and promotion easier and more efficient.",77.56,99.8,96,64,0,57.400000000000006,61,50,65,True,"David Baird, Tracy Eumont",2,2024-02-27 14:33:33
116,Athena,61.37476190476191,other,Athena is a tool that provides insights to B2B service companies to predict and proactively reduce churn.,73.27380952380952,97.61904761904762,91,55,0,58.400000000000006,61,80,10,True,"Anssi Rantanen, Staffan Enberg",2,2024-02-27 14:33:33
117,Talin,61.33172413793104,other,"Talin is a productivity tool for staffing and recruiting industry, centralizing all necessary tools and automating tasks.",73.05862068965517,98.79310344827586,91,52,0,58.400000000000006,61,80,10,True,"Julian D'Angelo, Trevor Witjes, Shawn Yeung",3,2024-02-27 14:33:33
118,Batch Reserve,61.281111111111116,underrepresented_founders,Batch Reserve is a decentralized platform that empowers craft consumers & producers using blockchain technology.,72.80555555555556,93.77777777777777,91,37,20,58.400000000000006,61,80,10,True,"Brian Dawson, Chris Dawson, Alistair Parsons",3,2024-02-27 14:33:33
119,GrowForMe,61.24000000000001,financial_inclusion,"GrowForMe is an input financing, commodity aggregation, and trading platform.",72.6,95,91,54,0,58.400000000000006,61,80,10,True,"Nana, Godfred, Francis, Amabel",4,2024-02-27 14:33:33
120,Dynamo,61.13000000000001,planet_positive,Dynamo is a SaaS-AI traffic light control system aiming to solve traffic congestion and reduce CO2 emissions.,81.65,95,83,61,80,56,100,40,0,True,"Amir Metwally, Eric Brassard",2,2024-02-27 14:33:33
121,The Perfect Startup,61.11000000000001,health_and_wellness,"The Perfect Startup is a health and wellness company that provides innovative solutions to improve physical, mental, and emotional well-being.",93.55,100,100,57,100,53,100,0,65,True,"John Doe, Jane Doe",2,2024-02-27 14:33:34
122,LondonLink,60.89,financial_inclusion,"LondonLink is Europe's premium Bitcoin brokerage, providing a high-confidence, concierge service and trusted platform for Bitcoin investment.",76.45,95,78,43,80,57,100,10,65,True,"Danny Barugh, Denis Yedin",2,2024-02-27 14:33:34
123,PlanTrip.AI,60.61857142857143,other,PlanTrip.AI is an AI-powered travel planning platform tailored for the TikTok generation.,77.49285714285713,98.71428571428571,78,35,90,56.400000000000006,61,80,0,True,"Tim Borovkov, Pauli Mankinen, Tuomas Ojavuo",3,2024-02-27 14:33:34
124,Earlybean,60.35000000000001,education_technology,"Earlybean is a learning-focused finance app for kids and teens that leverages abstract, experiential and game-based learning to make kids financially smart.",68.15,95,74,41,40,58.400000000000006,61,80,10,True,"Biobele Oyibo, Tomiwa Ogunmodede, Ari Tamunomiebi",3,2024-02-27 14:33:34
125,Zedify,60.25769230769231,planet_positive,Zedify is a zero-emission delivery service for better cities.,87.68846153846154,98.6923076923077,96,33,100,53.400000000000006,61,40,65,True,Rob King,1,2024-02-27 14:33:34
126,YOTEWO,60.24000000000001,other,Yotewo is a platform that simplifies the process of hiring a dev team.,87.6,95,91,54,100,53.400000000000006,61,40,65,True,"Aliaksandr K., Altynay A., Maxim M., Arina T.",4,2024-02-27 14:33:34
127,WellCell Ai LTD,60.17,health_and_wellness,WellCell centralises health data for holistic and actionable insights.,80.85,95,100,59,20,55,100,10,55,True,"Neil Ruth, Roxane Bakker",2,2024-02-27 14:33:34
128,Ridgerunner,60.120000000000005,other,Ridgerunner is a dedicated marketplace connecting outdoor gear makers with buyers.,79,98,78,56,80,55.4,26,80,65,True,"Adam Gifford, Jennifer Callahan, Dale Browning",3,2024-02-27 14:33:34
129,Togslive Solutions Pvt Ltd,59.825454545454555,other,Togslive Solutions Pvt Ltd is a startup that provides an online platform for tour operators and entertainment venues to connect with customers.,69.52727272727273,94.63636363636364,91,34,0,57.400000000000006,61,50,65,False,Ragul Srinivasan,1,2024-02-27 14:33:34
130,AquaVeg,59.758181818181825,health_and_wellness,AquaVeg crowdfunds Aquaponics Farms and distributes the vegetables direct-to-consumer.,85.19090909090909,95.45454545454545,83,74,90,53.400000000000006,61,40,65,True,"Muktish Narain, Deelchand Narain",2,2024-02-27 14:33:34
131,Earlybird,59.5,education_technology,Earlybird is automating the employment support sector using conversational AI and voice.,89.5,100,91,70,90,52,60,65,10,True,"Claudine Adeyemi, Boris Bambo",2,2024-02-27 14:33:34
132,BeinFit,59.46000000000001,health_and_wellness,BeinFit is a fitness platform leveraging AI to connect wellness enthusiasts with optimal resources and trainers.,83.7,95,91,38,90,53.400000000000006,61,40,65,False,"Alexander llin, Daniel Digo, Alina Fooks",3,2024-02-27 14:33:34
133,Africa Digital Media Studios Ltd,59.452857142857155,underrepresented_founders,Vumistream is an AI and AR powered multimedia streaming application designed for unparalleled interactivity and ultra-low latency.,87.66428571428573,99.07142857142857,91,59,90,52.400000000000006,61,65,10,True,"Wilfred Kinyanjui, Michael Mwaura",2,2024-02-27 14:33:34
134,Redwood,59.440000000000005,underrepresented_founders,"Redwood is a matchmaking app for underrepresented renters, creating new homes and improving quality of life.",75.6,95,91,54,20,55.400000000000006,61,50,55,True,Nikian Aghababaie,1,2024-02-27 14:33:34
135,HomeFinder,59.41000000000001,other,HomeFinder is a personalized property search platform focusing on prime residential homes.,85.05,95,91,57,80,53,100,0,65,True,James Nightingall,1,2024-02-27 14:33:34
136,tye,59.38000000000001,other,tye is a data quality platform that cleans and enriches master data for enterprises.,67.3,95,87,32,0,57.400000000000006,61,50,65,True,"Markus Beck, Casper Schulenburg, Michael Scharf",3,2024-02-27 14:33:34
137,Linky Thinks,59.35000000000001,education_technology,"Linky Thinks provides creative learning tools for teachers and parents, helping children engage with educational material through fun and innovative methods.",87.15,98.75,91,46,100,52.4,26,100,10,True,"Alexander Rosenberg, Dan Rosenberg, Oliver Rosenberg",3,2024-02-27 14:33:34
138,Chime Care,59.34,health_and_wellness,Chime Care is a health-tech platform aiming to be the UK's leading marketplace for home care services.,83.1,95,91,34,90,53.400000000000006,61,30,85,True,"Akshay Dhir, Alex Faur",2,2024-02-27 14:33:34
139,VumiStream,59.31000000000001,other,"VumiStream is revolutionizing streaming with AI and AR for smarter recommendations, safer moderation, and engaging experiences.",86.95,100,91,53,90,52.400000000000006,61,65,10,True,"Wilfred Kinyanjui, Michael Mwaura",2,2024-02-27 14:33:34
140,MOGL,59.253846153846155,education_technology,MOGL is an influencer marketing platform connecting athletes to brands and fans with automated compliance.,82.66923076923077,99.84615384615384,87,28,100,53.400000000000006,61,30,85,False,"Ayden Syal, Brandon Wimbush",2,2024-02-27 14:33:34
141,Duniya Health,59.229090909090914,health_and_wellness,Duniya Health is a smart logistics company improving efficiency of medical supply chains in rural Africa.,82.54545454545456,97.72727272727273,78,70,90,53.400000000000006,61,40,65,True,"Wamulume Beele, Mwansa Chalo, Charles Mwanza",3,2024-02-27 14:33:34
142,SportScientia,59.20571428571429,health_and_wellness,"SportScientia is revolutionizing athlete performance, recovery, and injury prevention through precision technology and AI-driven data insights.",80.02857142857142,99.64285714285714,74,64,90,54,100,30,10,True,"Peter Lazou, Daniel Vale, Simon Rock",3,2024-02-27 14:33:34
143,Nezz,59.2,financial_inclusion,Nezz is a payment system and marketplace app for peer-to-peer transactions.,86.4,95,91,46,100,52.4,26,100,10,True,"Lopsii Olagoke, Logo Olagoke",2,2024-02-27 14:33:34
144,HousMthr,58.984117647058824,other,HousMthr is an AI & ML equipped app offering comprehensive on-trip support for travelers and renters.,74.92058823529412,96.3529411764706,87,41,40,55,100,10,55,True,"Lou Severine, Will Schmahl, Allison Funkhouser",3,2024-02-27 14:33:34
145,PlasticApp,58.95000000000001,planet_positive,"PlasticApp revolutionizes recycling with gamification and cutting-edge tech, offering real-time tracking, personalized challenges, and community-driven features.",85.15,98,96,57,60,52.400000000000006,61,65,10,True,"Jacques Battini, Mathieu Istria, Cedric Pennachio, Francois Le Page",4,2024-02-27 14:33:35
146,mycrocast,58.88,other,mycrocast is a platform that combines audio with fan engagement and uses audio to break down barriers.,78.4,97.5,74,56,90,54,100,30,10,True,"Marcel Heße, Sven Beeckmann",2,2024-02-27 14:33:35
147,Randevu,58.863333333333344,other,"Randevu is a personalized networking app that helps organizations retain, engage and unlock revenue.",84.71666666666665,99.58333333333333,87,42,100,52.400000000000006,61,65,10,True,"Rana Kanaan, Sophie Vu",2,2024-02-27 14:33:35
148,Kidzify,58.77000000000001,education_technology,Kidzify offers an AI-based interactive cartoon series where children become the star and develop essential soft skills.,84.25,95,87,45,100,52.400000000000006,61,65,10,True,"Oleg Polchyn, Yurii Bulakh, Oleh Mishchenko",3,2024-02-27 14:33:35
149,TripzyGo,58.725454545454554,other,TripzyGo is a travel platform providing end-to-end travel services with transparency and standardization.,72.02727272727273,97.63636363636364,87,60,0,55.400000000000006,61,65,25,True,"Neeraj Vani, Manish Yadav, Simran Vani, Shivam Sharma",4,2024-02-27 14:33:35
150,NovoinnoTrade,58.69,financial_inclusion,NovoinnoTrade is a technology platform providing a complete and streamlined supply chain solution for businesses of all sizes.,85.45,95,87,53,100,52,60,65,10,True,"Subomi Owo-Odusi, Kolapo Oni, Olumide Olawale",3,2024-02-27 14:33:35
151,Fathercraft,58.66666666666667,education_technology,Fathercraft is a comprehensive parenting platform dedicated to simplifying fatherhood.,91.73333333333333,99.16666666666667,100,46,100,50.400000000000006,61,65,0,True,"Chris Marchant, Paul Rhodes",2,2024-02-27 14:33:35
152,Motion Shield,58.6375,financial_inclusion,Motion Shield is a digital platform streamlining the real-time lifecycle of motor insurance claims.,79.5875,99.6875,83,61,60,53.4,26,80,55,True,"Marcus Odubonojo, Jemma Ashley",2,2024-02-27 14:33:35
153,Upkiip,58.63461538461539,other,"Upkiip is an Insurtech platform simplifying the logistics of finding, booking, and managing home repairs in South Africa.",87.57307692307691,98.61538461538461,91,49,100,51.400000000000006,61,40,55,True,"Monthusi Motubudi, Tokelo Madisha, Mbele Lebohang",3,2024-02-27 14:33:35
154,Open Ads Protocol,58.54666666666668,other,Open Ads Protocol is a decentralized advertising protocol enabling effective advertising and monetization.,83.13333333333334,99.66666666666667,91,38,80,52.400000000000006,61,65,10,True,"Chris Koziak, Mike Thu, Jason Lee",3,2024-02-27 14:33:35
155,Genee,58.44333333333334,other,"Genee is an app that uses gifting to motivate sales teams. It allows managers to easily create, track and reward sales competitions.",82.61666666666666,98.33333333333333,83,43,100,52.400000000000006,61,65,10,False,"Alex Patton, Tom Pearce",2,2024-02-27 14:33:35
156,Adaptiv,58.22,education_technology,"Adaptiv is a personal career coach powered by AI and fueled by creators' content, helping GenZ build their ideal career path.",51.1,98,48,50,0,60,100,50,0,False,"Geetanjali Shrivastava, Titash NEOGI, Himavan Kancharla, Marketing Ninja",4,2024-02-27 14:33:35
157,The Cirkel,58.11000000000001,planet_positive,"The Cirkel is a fashion marketplace revolutionising resale, making second-hand feel like new.",68.95,95,78,13,60,55.400000000000006,61,65,25,False,"Austin Tasker, Bella Buchanan, Eliza Batten, Hebe Flury",4,2024-02-27 14:33:35
158,Total Soccer Experience (TSX),58.01947368421053,underrepresented_founders,TSX is dedicated to fostering a vibrant community for adults and creating a realm of fun for kids through soccer.,76.49736842105263,99.73684210526316,96,37,20,53.400000000000006,61,40,65,True,"Evren Asral, Joe Peppers, Will Harrison, T.J. Giordano",4,2024-02-27 14:33:35
159,Jules,57.935789473684224,planet_positive,Jules is a fintech startup that simplifies the process of accessing financial incentives for energy efficiency upgrades.,80.07894736842105,97.89473684210526,100,50,20,52.400000000000006,61,65,10,True,"Assad Aboultaif, Jeffrey Nolte, Roman Romero",3,2024-02-27 14:33:35
160,Iter,57.802352941176466,financial_inclusion,"Iter-booking makes traveling across Africa easy by letting users plan, book and finance their trips all in one app.",75.41176470588235,95.05882352941177,87,46,40,53.4,26,80,55,True,"Ross, Radhika, Lembi Bayong",3,2024-02-27 14:33:35
161,iGolf.One,57.71000000000001,education_technology,"iGolf.One is a mobile application that connects golfers with trainers, enhancing the learning experience.",76.55,95,83,47,60,53,100,0,65,True,"Jonah Vauchel, Pierre Girard",2,2024-02-27 14:33:35
162,For The Creators,57.51285714285715,health_and_wellness,For The Creators is building the Amazon for Modern Motherhood.,73.96428571428572,99.57142857142857,100,27,0,53.400000000000006,61,40,65,True,Lyndsay Mason,1,2024-02-27 14:33:35
163,Roomantic Travel,57.492857142857154,other,"Roomantic Travel is a platform that makes planning romantic travel fun and easy, offering a one-stop shop for couples and friends to find destinations, accommodations, and activities perfect for weddings, honeymoons, anniversaries, and romantic getaways.",77.86428571428571,98.57142857142857,74,51,90,52.400000000000006,61,65,10,True,"Alexis Allende, Erick Peñalillo",2,2024-02-27 14:33:35
164,Flusak,57.4123076923077,financial_inclusion,Flusak is a platform that connects investors with MSME's through a low risk and secure P2P platform to provide ethical investment opportunities for investors and low-cost ultra fast liquidity access for MSMEs.,85.46153846153845,98.3076923076923,83,62,100,50.400000000000006,61,65,0,True,"Daniel Kodrali, Evangelos Kaldelis, Ali Zein",3,2024-02-27 14:33:35
165,Amoeba AI,57.2,financial_inclusion,"Amoeba AI automates investment decisions using artificial intelligence, aiming to democratize access to the markets.",78,95,91,30,60,52,30,100,0,True,"Elvis Baugh, Diana Dale",2,2024-02-27 14:33:35
166,Supadupa,57.183333333333344,other,"Supadupa is a platform that makes discovering creators easier, providing brands with data points to find the right influencer with the right audience for their campaign.",76.31666666666666,99.33333333333333,100,43,0,52.400000000000006,61,65,10,True,"Christian Besler, Bryan Yap, Jason Torres",3,2024-02-27 14:33:35
167,X Cap Market,56.97000000000001,financial_inclusion,X Cap Market is a bespoke solution leveraging Generative AI built on public and private datasets for deal makers and finance professionals.,83.25,100,83,55,90,50.400000000000006,61,65,0,True,Sagar Soni,1,2024-02-27 14:33:35
168,Filmboard,56.84736842105264,other,Filmboard is a B2B e-commerce marketplace for film-related resources.,74.63684210526316,98.6842105263158,87,56,20,52.400000000000006,61,65,10,True,"Sandeep Varma, Rajesh Butta",2,2024-02-27 14:33:35
169,ArgyleEnigma Tech Labs Pvt Ltd,56.837500000000006,financial_inclusion,"ArgyleEnigma Tech Labs Pvt Ltd is developing Budgetalizer, a tool focused on empowering financial independence by mastering income, credit, investing and spending.",78.5875,93.9375,83,62,60,51.400000000000006,61,40,55,False,"Akash Parekh, Chandrakant Parekh",2,2024-02-27 14:33:36
170,Conservio,56.71466666666667,planet_positive,"Conservio makes it easy for independent travellers to discover, book and pay for their African travels.",85.97333333333331,98.86666666666666,100,28,80,49.400000000000006,61,30,65,True,"Lara Dendy Young, Justin Rijnberg, Bas Hochstenbach",3,2024-02-27 14:33:36
171,AltWellRx,56.65578947368422,health_and_wellness,"AltWellRx is a platform that revives and accelerates growth of legacy wellness brands, making alternative wellness more accessible.",73.67894736842105,98.89473684210526,91,36,20,52.400000000000006,61,65,10,False,"Steve Spiegel, Jack Takacs, Andy Kadison, Sam Genovese, Dennis Barnett",5,2024-02-27 14:33:36
172,PROMOFY,56.655555555555566,other,PROMOFY is an AI-Driven Gamification Platform for iGaming and Sports Media Engagement.,73.67777777777778,98.88888888888889,91,36,20,52.400000000000006,61,65,10,False,"Irakli Davarashvili, Tatia Arakelashvili, Ladi Kakhniashvili, Luka Tsiskarishvili, Vakhtang Mdivani, Avto Kheladze, Aleksandre Vardanidze, Misho Janiashvili, Temur Peikrishvili, Anano Sharashenidze",10,2024-02-27 14:33:36
173,Terra Labs,56.650000000000006,other,"Terra Labs is a platform for ultra-fast procurement for SMEs, powered by Generative AI.",71.25,95,91,45,0,53,100,0,65,False,"Lev Glushkovskii, Dylan McFarland, Yasir Ali",3,2024-02-27 14:33:36
174,Humanos,56.49,health_and_wellness,Humanos is a B2B2C platform providing personalized wellbeing solutions for organizations and individuals.,84.85,95,96,39,80,49.4,26,65,65,True,"Connor McManus, Bianca Errigo",2,2024-02-27 14:33:36
175,NFTPRICEFLOOR,56.44000000000001,other,"NFTPRICEFLOOR is a platform to discover, track and trade every NFT market in one place.",72.6,98.5,83,56,20,52.400000000000006,61,65,10,True,"David Garcia, Nicolas Lallement, Sebastian Fandino, Jordi Guirao",4,2024-02-27 14:33:36
176,Curiosify,56.3121052631579,education_technology,Curiosify is a personalized learning app with AI-optimized bite-size video lessons for students and analytics for educational institutions.,71.96052631578948,96.05263157894737,83,55,20,52.400000000000006,61,65,10,True,"Parshya Bora, MoloyWrit Saikia, Vedant Saraf",3,2024-02-27 14:33:36
177,Trikon,56.06,other,Trikon is making web 3.0 accessible by breaking entry barriers in gaming.,74.7,95,91,68,0,51.400000000000006,61,40,55,True,"Sahil Gupta, Abhay Mishra",2,2024-02-27 14:33:36
178,Zelospace,56.025000000000006,education_technology,"Zelospace is a digital platform that hosts talent competitions for university students, connecting academia and industry.",70.525,98.125,91,36,0,52.4,26,100,10,True,"Javier Huerta, Shahrom Ali",2,2024-02-27 14:33:36
179,MunJob Oy,55.97000000000001,education_technology,MunJob Oy is a disruptive employment agency that uses data-aided matching to connect job seekers with suitable job openings.,70.25,95,83,45,20,52.400000000000006,61,30,80,True,Janne Kyllönen,1,2024-02-27 14:33:36
180,Plinth,55.550000000000004,,,277.75,1000,100,85,100,0,0,0,0,False,,0,2024-02-27 14:33:36
181,Elite Fungi,55.533157894736846,health_and_wellness,Elite Fungi is revolutionizing the mushroom biotech industry by producing medicinal mushrooms in a certified facility.,72.0657894736842,97.57894736842105,91,27,20,51.400000000000006,61,40,55,True,"Tanya Barakat, Stef Schreuder, Daniel Barnes",3,2024-02-27 14:33:36
182,Well Fruited,55.48761904761905,health_and_wellness,"Well Fruited is creating a healthier alternative to juices and smoothies, with less sugar and more fibre.",77.43809523809524,99.19047619047619,96,64,0,50,100,20,10,True,"Ben Kaye, Alex Williams",2,2024-02-27 14:33:36
183,RepsMate,55.400000000000006,education_technology,RepsMate is an AI-powered platform that analyzes customer interactions to improve sales and operational efficiency.,63.4,95,78,36,0,53.400000000000006,61,40,65,False,Alin Roșca,1,2024-02-27 14:33:36
184,OffBlocks,55.34923076923077,financial_inclusion,OffBlocks helps developers build compliant crypto-to-crypto and crypto-to-fiat payment experiences that offer maximum security and data control.,75.14615384615385,99.23076923076923,65,52,100,50.4,26,100,0,False,"Edouard Daunizeau, Alexander Taraymovich",2,2024-02-27 14:33:36
185,Dreamwell AI,55.27000000000001,other,"Dreamwell AI is a marketing automation software that uses proprietary ML models to identify and create high-performing campaigns for brands, starting in influencer marketing.",78.75,95,91,35,60,49.400000000000006,61,30,65,True,"Kazzy Khazaal, Anthony Bobsin",2,2024-02-27 14:33:36
186,Ncash,55.17190476190477,financial_inclusion,Ncash is an AI-based fintech platform providing holistic employee financial wellness solutions.,62.259523809523806,98.04761904761905,70,51,0,53.400000000000006,61,40,65,False,"Veeraraghavan Narayanaswamy, Sampath Kumar Manickam, H.Narayanaswamy",3,2024-02-27 14:33:36
187,Sociable,55.150000000000006,other,Sociable provides identity theft protection and lost earnings insurance for social media creators and influencers.,70.15,95,78,41,40,51.400000000000006,61,40,55,True,James Moran,1,2024-02-27 14:33:36
188,Roomantic,55.150000000000006,health_and_wellness,"Roomantic is a platform that makes planning romantic travel fun and easy, offering a one-stop shop for couples and friends to find destinations, accommodations, and activities perfect for weddings, honeymoons, anniversaries, and romantic getaways.",74.15,95,65,51,100,50.400000000000006,61,65,0,True,"Alexis Allende, Erick Peñalillo",2,2024-02-27 14:33:36
189,Voythos,55.09,health_and_wellness,"Voythos is a healthcare startup that uses multimodal AI to predict aortic complications, enabling timely physician intervention.",69.85,95,57,59,90,51.400000000000006,61,40,55,False,"Sophia Khan, Joe Makoid, Alex Foster",3,2024-02-27 14:33:36
190,Eclipse Performance Vehicles,54.68,planet_positive,Eclipse Performance Vehicles is redefining high-performance electric mobility with a thrilling single-seater experience.,73.4,95,65,56,90,50,60,65,0,False,Robert Moon,1,2024-02-27 14:33:36
191,Canopey,54.631666666666675,planet_positive,"Canopey is a marketplace for ethical consumerism, providing verified green products and gamified shopping experience.",71.55833333333334,99.79166666666667,87,54,0,50.400000000000006,61,50,30,True,"Thomas Panton, Hugo Douglas-Deane, Abrar Rauf",3,2024-02-27 14:33:36
192,btrt,54.42000000000001,,btrt is a product strategy platform that helps companies build the right thing by bringing together strategy and customer insights.,70.5,100,74,50,40,50.400000000000006,61,65,0,False,"Sean, Sam",2,2024-02-27 14:33:36
193,Vault3,54.38142857142858,financial_inclusion,"Vault3 is a financial technology company that enables real-time, atomic transactions in a trustless setting, eliminating the need for intermediaries.",86.30714285714286,96.78571428571429,91,53,90,46.400000000000006,61,50,10,True,"Phil Goodwin, Peter Tippett",2,2024-02-27 14:33:37
194,Pathly,54.347500000000004,education_technology,Pathly offers personalized AI-driven career guidance for the next generation.,87.7375,99.6875,96,72,60,46,100,10,10,False,"Alex Johnson, Samantha Lee, Michael Brown",3,2024-02-27 14:33:37
195,WellB Strategies LLC,54.13000000000001,health_and_wellness,WellB Strategies LLC is a digital health platform providing personalized wellbeing solutions through influencer content.,89.05,95,96,47,100,45.400000000000006,61,20,65,False,Zachary Fleming,1,2024-02-27 14:33:37
196,Hush,54.12400000000001,other,Hush is an AI-driven anonymous social media platform for unfiltered expressions.,86.62,99.1,91,62,80,46,100,0,30,True,"Amit Sikdar, Amit Mishra",2,2024-02-27 14:33:37
197,MY HIRO,54.10000000000001,health_and_wellness,"MY HIRO is a tech-enabled food delivery service offering affordable, healthy meals.",84.9,95,91,56,80,46.400000000000006,61,50,10,True,"Stuart McCamley, Raj Sathi, Giorgia Lindner",3,2024-02-27 14:33:37
198,VAIVR,54.010000000000005,planet_positive,"VAIVR introduces a revolutionary 3D avatar technology and the world's first auto-draping to enable virtual try-ons, reduce returns, and personalise the shopping experience.",84.45,95,91,33,100,46.400000000000006,61,50,10,True,"PETER RATCLIFFE, DR. ANAS ABUZAINA, PADDY ARCHER",3,2024-02-27 14:33:37
199,CUBIQ,53.62000000000001,other,CUBIQ offers a low cost solution for Quantum-secure Coherent Engines to enable mass adoption of quantum secure communication with a low carbon footprint.,78.5,95,74,60,90,47.400000000000006,61,30,55,False,"Dr Chigo Okonkwo, Dr Aaron Albores Mejia",2,2024-02-27 14:33:37
200,Glist,53.51142857142858,planet_positive,Glist is a transportation management and planning solution leveraging AI for seamless and accurate predictions.,77.95714285714286,96.78571428571429,74,54,90,47.400000000000006,61,30,55,True,Andrew Nijmeh,1,2024-02-27 14:33:37
201,Inversion Art,53.508461538461546,underrepresented_founders,Inversion Art is a Y Combinator-inspired Art Accelerator Program and Managed Studio Services for visual artists.,89.9423076923077,98.46153846153847,91,65,100,44.400000000000006,61,10,80,True,"Joey Flores, Jonathan Neil",2,2024-02-27 14:33:37
202,Boom Journal,53.50307692307692,health_and_wellness,"Boom Journal is a self-care app providing mental health support through mindful journaling, analytics tracking, and AI-powered personal care.",87.5153846153846,99.07692307692308,91,48,100,45,0,100,25,True,"Matthew West, Jonas Smith, Matt Cook, Joseph Brown III",4,2024-02-27 14:33:37
203,ZL¹NE14,53.45000000000001,other,ZL¹NE14 is democratizing football data for all teams through AI video analysis.,85.65,95,100,21,90,45.400000000000006,61,20,65,True,"Simon Schmiderer, Tuomas Jaako, Lukas Grömer, Tobias Gahleitner",4,2024-02-27 14:33:37
204,Greenitio,53.45,planet_positive,Greenitio is a high-performance bio-alternative solution to petrochemicals in cosmetics and personal care.,87.25,95,96,55,80,45,30,50,65,True,"Amit Kumar Khan, Susmita Roy",2,2024-02-27 14:33:37
205,Kuri,53.377692307692314,financial_inclusion,Kuri is a fintech platform creating a financial ecosystem for the underserved in Latin America.,81.28846153846155,97.6923076923077,74,65,100,46.400000000000006,61,50,10,True,"Francisco Merchán, Ludwig Pucha",2,2024-02-27 14:33:37
206,nooon,53.33000000000001,other,"nooon is a B2B marketplace for hotels and influencers, aiming to unbundle the least well-served hotels on Booking.com.",69.05,95,74,27,60,49.400000000000006,61,30,65,False,Nooah Riijärvi,1,2024-02-27 14:33:37
207,Monirates,53.24666666666667,financial_inclusion,"Monirates is a digital platform for currency exchange, offering affordable local currency and reducing exchange fees through a peer-to-peer platform.",86.23333333333333,99.66666666666667,96,42,80,45,0,80,65,True,"Oluwaseyi Faro, Peter Moses",2,2024-02-27 14:33:37
208,Portaire,53.153333333333336,other,Portaire is a B2B SaaS platform that simplifies the design process and improves collaboration for design studios.,88.16666666666666,99.58333333333333,96,35,100,44.400000000000006,61,10,80,True,"Lori Bolon, Matteo Grand",2,2024-02-27 14:33:37
209,FARA,53.120000000000005,financial_inclusion,"Fara is a cloud-based platform for efficient restocking, inventory tracking, and distribution management of oil and gas products across filling stations.",80,98,83,36,90,46.400000000000006,61,50,10,False,"Rhoda Manford, Emmanuel Andoh, Felix Manford",3,2024-02-27 14:33:37
210,Triple Technologies Ltd,53.07000000000001,financial_inclusion,Triple Technologies Ltd is a platform that enriches payment data and provides developers with the tools to build future financial experiences.,79.75,99,83,23,100,46.400000000000006,61,50,10,True,"Mario Navarro, Ibai Iturricha, Jorge Dobón, Toto Parasca",4,2024-02-27 14:33:37
211,Mixo,53.06,financial_inclusion,Mixo is an app that automates ads for small and medium businesses with low budgets.,79.7,95,83,68,60,46.400000000000006,61,50,10,True,Kartik Gurmule,1,2024-02-27 14:33:37
212,A+ ERP,53.053333333333335,education_technology,A+ ERP develops customizable and integrated cloud ERP solutions that boost efficiency and fuel growth for businesses of all sizes.,79.66666666666666,98.58333333333333,83,23,100,46.400000000000006,61,50,10,False,"Arens Myzyri, Yusif Khalilov",2,2024-02-27 14:33:37
213,Jointy,52.934,planet_positive,Jointy is a high-end peer-to-peer rental fashion marketplace aiming to change the landscape of the fashion industry by promoting sustainable consumption.,87.07,93.1,91,73,80,44.4,26,80,10,False,CEO,1,2024-02-27 14:33:37
214,Privasee,52.79333333333334,financial_inclusion,Privasee provides automated privacy compliance for SMEs.,90.36666666666666,99.08333333333333,91,67,100,43.4,26,50,65,True,"Alex Franch, Manuel Martinez da",2,2024-02-27 14:33:37
215,AISBJO ERP,52.77076923076923,financial_inclusion,AISBJO ERP is an enterprise resource planning solution that empowers e-commerce businesses of all sizes to unlock their full potential and achieve sustainable success.,78.25384615384615,96.76923076923077,83,16,100,46.400000000000006,61,50,10,False,"Arens Myzyri, Yusif Khalilov",2,2024-02-27 14:33:37
216,TRUVA,52.77,other,"TRUVA is a platform that aims to simplify and streamline the home buying process in India, focusing on the resale segment.",78.25,99,74,63,80,46.400000000000006,61,50,10,False,"Puneet Arora, Monil Singhal, Ankit Gupta",3,2024-02-27 14:33:37
217,EkkBaz AI,52.62666666666667,financial_inclusion,EkkBaz AI is a co-pilot for B2B commerce and embedded financing SaaS platform.,77.53333333333335,99.16666666666667,74,38,100,46.400000000000006,61,50,10,True,"Enam Chowdhury, Zobaida Sultana, Jimmy, Towfiq",4,2024-02-27 14:33:42
